sub,month,treshold_hid,sub,month
39,7,0.661369756097561,39,7
39,8,0.24590048780487805,39,8
39,9,0.4113014634146341,39,9
39,10,1.6722263414634144,39,10
39,11,2.418263414634146,39,11
39,12,1.7120312195121952,39,12
40,1,1.1669333333333334,40,1
40,2,0.9697422222222223,40,2
40,3,1.4259199999999996,40,3
40,4,2.2156088888888887,40,4
40,5,1.9812266666666667,40,5
40,6,1.3583644444444445,40,6
40,7,0.6929066666666668,40,7
40,8,0.23997155555555555,40,8
40,9,0.37831111111111115,40,9
40,10,1.53152,40,10
40,11,2.3202133333333332,40,11
40,12,1.6793599999999997,40,12
41,1,1.0438971428571429,41,1
41,2,0.9073542857142859,41,2
41,3,1.3731428571428572,41,3
41,4,2.107465714285714,41,4
41,5,1.86516,41,5
41,6,1.256965714285714,41,6
41,7,0.636876,41,7
41,8,0.2200268571428571,41,8
41,9,0.3925877142857142,41,9
41,10,1.4854628571428572,41,10
41,11,2.20806,41,11
41,12,1.548565714285714,41,12
42,1,1.2503130063965886,42,1
42,2,1.1504648187633264,42,2
42,3,1.5662533049040512,42,3
42,4,2.38686908315565,42,4
42,5,2.0327027718550106,42,5
42,6,1.3749390191897657,42,6
42,7,0.6583716844349679,42,7
42,8,0.23983829424307035,42,8
42,9,0.3771019189765459,42,9
42,10,1.6775232409381662,42,10
42,11,2.4203053304904047,42,11
42,12,1.8560341151385926,42,12
43,1,1.1506357894736843,43,1
43,2,0.9507031578947369,43,2
43,3,1.4154442105263159,43,3
43,4,2.133852631578947,43,4
43,5,1.9377852631578945,43,5
43,6,1.3307873684210523,43,6
43,7,0.678543157894737,43,7
43,8,0.23629642105263157,43,8
43,9,0.36690442105263155,43,9
43,10,1.5579284210526316,43,10
43,11,2.292555789473684,43,11
43,12,1.653877894736842,43,12
